ENTIDAD	NOM_ENT	MUN	NOM_MUN	LOC	NOM_LOC	LONGITUD	LATITUD	ALTITUD	P_TOTAL	P_MAS	P_FEM	P_0A4_AN	P_0A4_MA	P_0A4_FE	P_0A14_A	P_0A14_MA	P_0A14_FE	P_5_AN	P_5YMAS	P_5YMAS_M	P_5YMAS_F	P_6A11_AN	P_6A14_AN	P_6A14_M	P_6A14_F	P_12A14_AN	P_12YMAS	P_15YMAS	P_15YMAS_M	P_15YMAS_F	P_15A24	P_F_15A49	P_15A59	P_15A59_M	P_15A59_F	P_18YMAS	P_M_18YMAS	P_F_18YMAS	P_60YMAS	P_M_60YMAS	P_F_60YMAS	P_65YMAS	P_65YMAS_M	P_65YMAS_F	REL_H_M	PROM_HNV	P_RE2000	P_OE2000	P_M_OE2000	P_F_OE2000	P_EU2000	P_SINDER	P_DERE	P_IMSS	P_ISSSTE	P_SEGPOP	P_8A14AN	P_M_8A14AN	P_F_8A14AN	P_15MAAN	P_M_15MAAN	P_F_15MAAN	P_5_NOAE	P_M_5_NOAE	P_F_5_NOAE	P_6A11_NOA	P6A14NOA	PM_6A14NOA	PF_6A14NOA	P12A14_NOA	P_15A24A	P_M_15A24A	P_F_15A24A	P15YMASE	PM_15YMASE	PF_15YMASE	P15YM_EBIN	PM15YMEBIN	PF15YMEBIN	P15YM_EBC	PM15YM_EBC	PF15YM_EBC	P15YMAPB	PM_15YMAPB	PF_15YMAPB	GRAPROES	GRADOES_M	GRADOES_F	P5YMAHLI	P5YMAHLI_M	P5YMAHLI_F	P5YMALINE	PM5YMALINE	PF5YMALINE	P5YMALIES	PMYMALIES	PFYMALIES	P_HOG_IND	TOT_HOG	HOGAR_JM	HOGAR_JF	P_HOGAR	P_HOG_JM	P_HOG_JF	T_VIVHAB	VIVPARHA	O_VIVPAR	PRO_VIPA	PRO_C_VP	VPH_PIDT	VPH_CON_PT	VPH_1DOR	VPH_2YMASD	VPH_1CUA	VPH_2CUA	VPH_3YMASC	VPH_EXCSA	VPH_AGDV	VPH_NOAG	VPH_DREN	VPH_NODREN	VPH_ENEL	VPH_DREE	VPH_NADE	VPH_SBIE	VPH_TV	VPH_REFR	VPH_LAVA	VPH_PC	
01	Aguascalientes	000	Total de la entidad Aguascalientes	0000	Total de la Entidad				1065416	515364	550052	118536	60406	58130	358946	182122	176824	24881	931261	447123	484138	144241	215529	109079	106450	71288	762139	690851	325407	365444	200146	290121	618080	291979	326101	624652	292315	332337	72771	33428	39343	49603	22469	27134	93.69	2.57	884867	36343	17679	18664	4940	287075	758160	489275	77643	188554	2286	1415	871	28689	12299	16390	980	508	472	2619	9756	5134	4622	7137	73787	35866	37921	31749	14430	17319	253176	116469	136707	161719	77324	84395	234587	113444	121143	8.70	8.84	8.58	2713	1514	1199	1	0	1	2565	1433	1132	5657	248905	196553	52352	1048311	866793	181518	245785	245625	1061896	4.32	1.03	235797	5132	58765	182586	7832	24593	208926	234493	235254	5832	234759	5864	238639	229429	569	2094	236330	220469	201236	61954	
01	Aguascalientes	000	Total de la entidad Aguascalientes	9998	Localidades de una vivienda				3729	2062	1667	364	174	190	1193	593	600	74	3362	1887	1475	510	755	385	370	245	2778	2533	1468	1065	706	801	2186	1269	917	2291	1334	957	347	199	148	239	142	97	123.70	3.21	3148	182	112	70	26	1797	1921	1005	86	809	29	25	4	302	170	132	13	7	6	29	84	52	32	55	230	139	91	336	197	139	1305	748	557	445	260	185	419	247	172	6.16	6.16	6.15	14	9	5	0	0	0	14	9	5	23	728	657	71	3289	2960	329	726	717	3289	4.59	1.30	655	61	243	473	46	138	532	525	240	471	500	209	560	154	70	97	586	450	364	57	
01	Aguascalientes	000	Total de la entidad Aguascalientes	9999	Localidades de dos viviendas				3295	1932	1363	356	182	174	996	522	474	67	2908	1734	1174	369	573	305	268	204	2472	2268	1394	874	678	687	2038	1267	771	2081	1300	781	230	127	103	170	85	85	141.75	3.34	2750	143	99	44	6	1644	1609	841	20	726	19	13	6	240	130	110	13	11	2	20	62	41	21	42	166	98	68	262	131	131	1308	824	484	439	272	167	238	153	85	5.89	6.09	5.58	3	2	1	0	0	0	3	2	1	4	577	526	51	2607	2405	202	574	572	2635	4.61	1.37	515	48	210	354	50	118	396	423	220	339	383	168	490	160	43	58	491	394	329	30	
01	Aguascalientes	001	Aguascalientes	0000	Total del Municipio				723043	349203	373840	75178	38266	36912	229215	116060	113155	15834	635311	304638	330673	92694	138203	69751	68452	45509	526783	481274	226844	254430	135734	200629	432075	205082	226993	437804	204934	232870	49199	21762	27437	32834	14093	18741	93.41	2.40	599685	29205	14099	15106	2472	191599	515439	383956	56512	71757	1122	673	449	15333	6061	9272	573	298	275	1488	5296	2776	2520	3808	56159	27805	28354	18051	7619	10432	155600	70310	85290	109165	53463	55702	191698	92908	98790	9.33	9.53	9.15	1958	1095	863	1	0	1	1869	1050	819	3973	173948	135866	38082	709280	581285	127995	172315	172191	720200	4.18	0.95	165783	2558	36166	132502	4486	13547	150635	166074	165100	3434	165966	2294	167358	162821	271	777	166255	159041	145690	53003	
01	Aguascalientes	001	Aguascalientes	0001	Aguascalientes	1021746   	215251    	1870      	663671	319649	344022	67532	34344	33188	206940	104711	102229	14272	584078	279260	304818	84013	125136	63116	62020	41123	485793	444670	208893	235777	124150	185244	398971	188948	210023	405094	188921	216173	45699	19945	25754	30417	12846	17571	92.92	2.35	550728	27646	13356	14290	2196	171635	476876	361302	54843	57505	878	515	363	12306	4595	7711	488	249	239	1299	4493	2360	2133	3194	53708	26731	26977	15004	6108	8896	137059	60967	76092	99674	48921	50753	186957	90691	96266	9.55	9.79	9.34	1833	1018	815	1	0	1	1753	981	772	3677	161193	124952	36241	651271	530274	120997	159890	159777	661912	4.14	0.93	154161	1921	32062	124361	3702	11324	141397	155196	155017	1299	155607	485	155649	153740	40	404	154642	148724	136628	51930	
01	Aguascalientes	001	Aguascalientes	0094	Granja Adelita	1022225   	215219    	1900      	10	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
01	Aguascalientes	001	Aguascalientes	0096	Agua Azul	1022127   	215303    	1850      	30	13	17	1	0	1	7	2	5	0	29	13	16	3	6	2	4	3	26	23	11	12	8	9	17	8	9	18	10	8	6	3	3	3	3	0	76.47	2.73	29	0	0	0	0	12	18	6	0	12	0	0	0	6	4	2	0	0	0	0	1	0	1	1	3	0	3	4	2	2	14	7	7	3	1	2	2	1	1	4.35	3.73	4.92	0	0	0	0	0	0	0	0	0	0	8	6	2	30	22	8	8	8	30	3.75	1.07	7	1	2	6	0	1	7	1	0	8	1	6	8	0	0	0	8	7	4	0	
01	Aguascalientes	001	Aguascalientes	0102	Los Arbolitos (Rancho de los Arbolitos)	1022126   	214649    	1880      	6	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	
01	Aguascalientes	001	Aguascalientes	0106	Arellano	1021628   	214803    	1890      	1349	661	688	193	99	94	548	275	273	31	1155	561	594	216	324	165	159	108	908	800	385	415	298	367	757	363	394	696	340	356	43	22	21	30	16	14	96.08	2.82	1095	55	29	26	4	450	897	553	6	341	5	4	1	75	36	39	1	1	0	4	15	9	6	11	50	17	33	77	35	42	410	202	208	244	113	131	67	34	33	6.39	6.35	6.43	2	1	1	0	0	0	2	1	1	9	279	230	49	1349	1120	229	246	246	1349	5.48	1.40	239	5	67	177	8	28	208	245	239	5	243	2	242	237	0	1	243	211	183	23	
01	Aguascalientes	001	Aguascalientes	0112	Bajío los Vázquez	1020726   	214452    	1960      	68	32	36	6	3	3	15	10	5	2	62	29	33	5	7	5	2	2	55	53	22	31	18	27	46	18	28	47	18	29	7	4	3	1	1	0	88.89	2.25	59	3	2	1	0	53	15	3	1	11	0	0	0	6	4	2	0	0	0	0	0	0	0	0	5	2	3	7	5	2	32	15	17	10	2	8	4	0	4	5.92	4.86	6.68	0	0	0	0	0	0	0	0	0	0	13	12	1	68	65	3	13	13	68	5.23	1.66	13	0	5	8	0	3	10	12	12	1	9	4	12	8	0	1	12	11	9	0	
